"","Area code","Township","SevMale","SevFemale","SevTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"277","AREA # 120401","Kyauktada",2,1,3,NA,NA,NA,NA,NA,NA
"278","AREA # 120402","Pabedan",1,NA,1,NA,NA,NA,NA,NA,NA
"279","AREA # 120403","Lanmadaw",2,1,3,NA,NA,NA,NA,NA,NA
"280","AREA # 120404","Latha",2,3,5,NA,1,1,NA,33.3333333333333,20
"281","AREA # 120405","Ahlon",7,4,11,2,NA,2,28.5714285714286,NA,18.1818181818182
"282","AREA # 120406","Kyimyindine",19,14,33,3,1,4,15.7894736842105,7.14285714285714,12.1212121212121
"283","AREA # 120407","Sangyoung",5,6,11,NA,NA,NA,NA,NA,NA
"284","AREA # 120408","Hline",14,14,28,3,5,8,21.4285714285714,35.7142857142857,28.5714285714286
"285","AREA # 120409","Kamayut",4,3,7,2,1,3,50,33.3333333333333,42.8571428571429
"286","AREA # 120410","Mayangon",39,26,65,12,5,17,30.7692307692308,19.2307692307692,26.1538461538462
"287","AREA # 120411","Dagon",3,1,4,1,NA,1,33.3333333333333,NA,25
"288","AREA # 120412","Bahan",3,9,12,2,3,5,66.6666666666667,33.3333333333333,41.6666666666667
"289","AREA # 120413","Seikkan",1,1,2,NA,NA,NA,NA,NA,NA
"290","AREA # 130101","Taunggyi",72,56,128,13,13,26,18.0555555555556,23.2142857142857,20.3125
"291","AREA # 130102","Nyaungshwe",63,32,95,22,11,33,34.9206349206349,34.375,34.7368421052632
"292","AREA # 130103","Hopon",24,8,32,8,NA,8,33.3333333333333,NA,25
"293","AREA # 130104","Hsihseng",26,35,61,8,8,16,30.7692307692308,22.8571428571429,26.2295081967213
"294","AREA # 130105","Kalaw",27,32,59,7,11,18,25.9259259259259,34.375,30.5084745762712
"295","AREA # 130106","Pindaya",24,13,37,5,5,10,20.8333333333333,38.4615384615385,27.027027027027
"296","AREA # 130107","Ywarngan",40,20,60,10,10,20,25,50,33.3333333333333
"297","AREA # 130108","Yatsauk",44,39,83,12,16,28,27.2727272727273,41.025641025641,33.7349397590361
"298","AREA # 130109","Pinlaung",25,31,56,8,20,28,32,64.5161290322581,50
"299","AREA # 130110","Phekon",39,22,61,21,10,31,53.8461538461538,45.4545454545455,50.8196721311475
"300","AREA # 130151","Kyauktalongyi(ST)",13,15,28,5,6,11,38.4615384615385,40,39.2857142857143
"301","AREA # 130152","Indaw(ST)",7,14,21,NA,5,5,NA,35.7142857142857,23.8095238095238
"302","AREA # 130153","Naungtayar(ST)",23,24,47,9,5,14,39.1304347826087,20.8333333333333,29.7872340425532
"303","AREA # 130201","Loilem",8,6,14,1,2,3,12.5,33.3333333333333,21.4285714285714
"304","AREA # 130202","Le`char",9,6,15,NA,3,3,NA,50,20
"305","AREA # 130203","Nanhsam(South)",14,7,21,1,NA,1,7.14285714285714,NA,4.76190476190476
"306","AREA # 130204","Kunhing",3,7,10,1,2,3,33.3333333333333,28.5714285714286,30
"307","AREA # 130205","Kehsi",14,7,21,3,1,4,21.4285714285714,14.2857142857143,19.047619047619
