"","Area code","Township","SevMale","SevFemale","SevTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"20","AREA # 010304","Mansi",19,16,35,10,3,13,52.6315789473684,18.75,37.1428571428571
"21","AREA # 010351","Myohla(ST)",1,NA,1,NA,NA,NA,NA,NA,NA
"22","AREA # 010352","Lwe`ge`(ST)",1,4,5,NA,NA,NA,NA,NA,NA
"23","AREA # 010353","Dotphoneyan(ST)",5,3,8,2,NA,2,40,NA,25
"24","AREA # 010401","Putao",25,20,45,18,9,27,72,45,60
"25","AREA # 010402","Sumprabum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","AREA # 010403","Machanbaw",7,3,10,2,1,3,28.5714285714286,33.3333333333333,30
"27","AREA # 010404","Khaunglanphoo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","AREA # 010405","Naungmoon",2,NA,2,1,NA,1,50,NA,50
"29","AREA # 010451","Pannandin(ST)",2,NA,2,NA,NA,NA,NA,NA,NA
"30","AREA # 020101","Loikaw",35,25,60,12,13,25,34.2857142857143,52,41.6666666666667
"31","AREA # 020102","Dimawso",11,24,35,5,9,14,45.4545454545455,37.5,40
"32","AREA # 020103","Phruso",8,10,18,2,3,5,25,30,27.7777777777778
"33","AREA # 020104","Shardaw",5,NA,5,2,NA,2,40,NA,40
"34","AREA # 020201","Bawlakhe",4,1,5,NA,NA,NA,NA,NA,NA
"35","AREA # 020202","Parsaung",3,3,6,NA,2,2,NA,66.6666666666667,33.3333333333333
"36","AREA # 020203","Meisi",4,3,7,NA,NA,NA,NA,NA,NA
"37","AREA # 020251","Ywathit(ST)",NA,1,1,NA,NA,NA,NA,NA,NA
"38","AREA # 030101","Hpa-an",120,114,234,35,36,71,29.1666666666667,31.5789473684211,30.3418803418803
"39","AREA # 030102","Hlaingbwe",41,38,79,14,13,27,34.1463414634146,34.2105263157895,34.1772151898734
"40","AREA # 030103","Thandaunggyi",6,6,12,2,1,3,33.3333333333333,16.6666666666667,25
"41","AREA # 030151","Paingkyon(ST)",37,31,68,10,14,24,27.027027027027,45.1612903225806,35.2941176470588
"42","AREA # 030152","Shan Ywathit(ST)",9,1,10,1,NA,1,11.1111111111111,NA,10
"43","AREA # 030153","Leiktho(ST)",42,22,64,25,13,38,59.5238095238095,59.0909090909091,59.375
"44","AREA # 030154","Bawgali(ST)",5,5,10,3,1,4,60,20,40
"45","AREA # 030201","Pharpon",9,3,12,5,1,6,55.5555555555556,33.3333333333333,50
"46","AREA # 030251","Kamamaung(ST}",13,9,22,6,3,9,46.1538461538462,33.3333333333333,40.9090909090909
"47","AREA # 030301","Myawady",41,31,72,12,3,15,29.2682926829268,9.67741935483871,20.8333333333333
"48","AREA # 030351","Sugali(ST)",3,3,6,1,NA,1,33.3333333333333,NA,16.6666666666667
"49","AREA # 030352","Wawlaymyaing(ST)",2,3,5,1,1,2,50,33.3333333333333,40
"50","AREA # 030401","Kawkareik",79,69,148,22,23,45,27.8481012658228,33.3333333333333,30.4054054054054
"51","AREA # 030402","Kyarinseikkyi",42,42,84,12,8,20,28.5714285714286,19.047619047619,23.8095238095238
"52","AREA # 030451","Payarthonezu(ST)",58,33,91,21,13,34,36.2068965517241,39.3939393939394,37.3626373626374
"53","AREA # 030452","Kyaidon(ST)",29,18,47,6,4,10,20.6896551724138,22.2222222222222,21.2765957446809
"54","AREA # 040101","HaKa",9,16,25,3,5,8,33.3333333333333,31.25,32
"55","AREA # 040102","Thantlang",17,21,38,8,7,15,47.0588235294118,33.3333333333333,39.4736842105263
"56","AREA # 040201","Falam",27,16,43,18,6,24,66.6666666666667,37.5,55.8139534883721
"57","AREA # 040202","Tedim",23,22,45,10,6,16,43.4782608695652,27.2727272727273,35.5555555555556
"58","AREA # 040203","Tonzaung",14,11,25,10,6,16,71.4285714285714,54.5454545454545,64
"59","AREA # 040251","Rihkhuadal(ST)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","AREA # 040252","Cikha(ST)",5,6,11,3,5,8,60,83.3333333333333,72.7272727272727
"61","AREA # 040301","Mindat",22,13,35,6,5,11,27.2727272727273,38.4615384615385,31.4285714285714
"62","AREA # 040302","Matupi",31,37,68,16,22,38,51.6129032258064,59.4594594594595,55.8823529411765
"63","AREA # 040303","Kanpalet",15,12,27,6,4,10,40,33.3333333333333,37.037037037037
"64","AREA # 040304","Paletwat",34,42,76,15,22,37,44.1176470588235,52.3809523809524,48.6842105263158
"65","AREA # 040351","Reazu(ST)",33,28,61,21,17,38,63.6363636363636,60.7142857142857,62.2950819672131
"66","AREA # 040352","Sami(ST)",13,13,26,1,4,5,7.69230769230769,30.7692307692308,19.2307692307692
"67","AREA # 050101","Sagaing",45,62,107,11,20,31,24.4444444444444,32.258064516129,28.9719626168224
"68","AREA # 050102","Myinmu",17,22,39,3,2,5,17.6470588235294,9.09090909090909,12.8205128205128
"69","AREA # 050103","Myaung",20,11,31,2,3,5,10,27.2727272727273,16.1290322580645
"70","AREA # 050201","Shwebo",44,42,86,7,9,16,15.9090909090909,21.4285714285714,18.6046511627907
"71","AREA # 050202","Khin U",28,15,43,8,5,13,28.5714285714286,33.3333333333333,30.2325581395349
"72","AREA # 050203","Wetlet",30,19,49,4,2,6,13.3333333333333,10.5263157894737,12.2448979591837
"73","AREA # 050204","Kambalu",66,56,122,30,15,45,45.4545454545455,26.7857142857143,36.8852459016393
"74","AREA # 050205","Kyunhlau",23,14,37,7,3,10,30.4347826086957,21.4285714285714,27.027027027027
"75","AREA # 050206","Ye U",33,25,58,9,8,17,27.2727272727273,32,29.3103448275862
"76","AREA # 050207","Depayin",36,26,62,5,3,8,13.8888888888889,11.5384615384615,12.9032258064516
"77","AREA # 050208","Tasei",49,37,86,21,13,34,42.8571428571429,35.1351351351351,39.5348837209302
"78","AREA # 050251","Kyaukmyaung(ST)",8,2,10,3,1,4,37.5,50,40
"79","AREA # 050301","Monywa",91,49,140,19,14,33,20.8791208791209,28.5714285714286,23.5714285714286
"80","AREA # 050302","Butalin",33,24,57,6,6,12,18.1818181818182,25,21.0526315789474
"81","AREA # 050303","Ayartaw",32,28,60,8,11,19,25,39.2857142857143,31.6666666666667
"82","AREA # 050304","Chaung Oo",24,16,40,9,6,15,37.5,37.5,37.5
"83","AREA # 050401","Katha",33,25,58,12,6,18,36.3636363636364,24,31.0344827586207
"84","AREA # 050402","Indaw",24,21,45,8,4,12,33.3333333333333,19.047619047619,26.6666666666667
"85","AREA # 050403","Tigyaing",22,26,48,4,12,16,18.1818181818182,46.1538461538462,33.3333333333333
"86","AREA # 050404","Banmauk",28,32,60,9,6,15,32.1428571428571,18.75,25
"87","AREA # 050405","Kawlin",38,21,59,12,5,17,31.5789473684211,23.8095238095238,28.8135593220339
"88","AREA # 050406","Wuntho",18,14,32,11,2,13,61.1111111111111,14.2857142857143,40.625
"89","AREA # 050407","Pinlebu",36,30,66,14,12,26,38.8888888888889,40,39.3939393939394
"90","AREA # 050501","Kalay",82,65,147,26,18,44,31.7073170731707,27.6923076923077,29.9319727891156
"91","AREA # 050502","Kalewa",19,7,26,7,1,8,36.8421052631579,14.2857142857143,30.7692307692308
"92","AREA # 050503","Mingin",16,17,33,8,4,12,50,23.5294117647059,36.3636363636364
"93","AREA # 050601","Tamu",13,9,22,3,NA,3,23.0769230769231,NA,13.6363636363636
"94","AREA # 050651","Myothit(ST)",7,6,13,4,2,6,57.1428571428571,33.3333333333333,46.1538461538462
"95","AREA # 050652","Khampat(ST)",6,7,13,2,2,4,33.3333333333333,28.5714285714286,30.7692307692308
"96","AREA # 050701","Mawlaik",14,18,32,6,6,12,42.8571428571429,33.3333333333333,37.5
"97","AREA # 050702","Phaungpyin",27,21,48,14,10,24,51.8518518518519,47.6190476190476,50
"98","AREA # 050801","Hkamti",13,5,18,6,1,7,46.1538461538462,20,38.8888888888889
"99","AREA # 050802","Homalin",61,38,99,18,13,31,29.5081967213115,34.2105263157895,31.3131313131313
"100","AREA # 050803","Leshi",7,5,12,3,1,4,42.8571428571429,20,33.3333333333333
"101","AREA # 050804","Lahe",7,11,18,2,4,6,28.5714285714286,36.3636363636364,33.3333333333333
"102","AREA # 050805","Nanyun",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","AREA # 050851","Mobaingluk(ST)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","AREA # 050852","Sonemara(ST)",2,NA,2,NA,NA,NA,NA,NA,NA
"105","AREA # 050853","Htanparkway(ST)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","AREA # 050854","Pansaung(ST)",8,5,13,4,2,6,50,40,46.1538461538462
"107","AREA # 050855","Donhee(ST)",NA,4,4,NA,NA,NA,NA,NA,NA
"108","AREA # 050901","Yinmarpin",33,40,73,7,14,21,21.2121212121212,35,28.7671232876712
"109","AREA # 050902","Salingyi",23,23,46,8,7,15,34.7826086956522,30.4347826086957,32.6086956521739
"110","AREA # 050903","Palae",29,28,57,10,9,19,34.4827586206897,32.1428571428571,33.3333333333333
"111","AREA # 050904","Kani",41,38,79,17,12,29,41.4634146341463,31.5789473684211,36.7088607594937
"112","AREA # 060101","Dawei",29,28,57,8,10,18,27.5862068965517,35.7142857142857,31.5789473684211
"113","AREA # 060102","Lounglon",33,29,62,9,14,23,27.2727272727273,48.2758620689655,37.0967741935484
"114","AREA # 060103","Thayetchaung",50,40,90,21,13,34,42,32.5,37.7777777777778
"115","AREA # 060104","Yebyu",22,32,54,6,15,21,27.2727272727273,46.875,38.8888888888889
"116","AREA # 060151","Myitta(ST)",12,12,24,6,7,13,50,58.3333333333333,54.1666666666667
"117","AREA # 060152","Kaleinaung(ST)",3,1,4,NA,1,1,NA,100,25
"118","AREA # 060201","Myeik",77,69,146,23,19,42,29.8701298701299,27.536231884058,28.7671232876712
"119","AREA # 060202","Kyunsu",61,61,122,23,32,55,37.7049180327869,52.4590163934426,45.0819672131148
"120","AREA # 060203","Palaw",47,35,82,19,15,34,40.4255319148936,42.8571428571429,41.4634146341463
"121","AREA # 060204","Tanintharyi",72,49,121,29,17,46,40.2777777777778,34.6938775510204,38.0165289256198
"122","AREA # 060251","Palauk(ST)",22,18,40,12,5,17,54.5454545454545,27.7777777777778,42.5
"123","AREA # 060301","Kawthoung",25,17,42,5,6,11,20,35.2941176470588,26.1904761904762
"124","AREA # 060302","Bokepyin",10,18,28,3,4,7,30,22.2222222222222,25
"125","AREA # 060351","Khamaukgyi",6,6,12,1,NA,1,16.6666666666667,NA,8.33333333333333
"126","AREA # 060352","Pyigyimandaing",7,8,15,3,1,4,42.8571428571429,12.5,26.6666666666667
"127","AREA # 060353","Karathuri(ST)",4,9,13,3,4,7,75,44.4444444444444,53.8461538461538
"128","AREA # 070101","Bago",111,99,210,23,18,41,20.7207207207207,18.1818181818182,19.5238095238095
"129","AREA # 070102","Tanatpin",42,22,64,10,5,15,23.8095238095238,22.7272727272727,23.4375
"130","AREA # 070103","Kawa",58,42,100,17,14,31,29.3103448275862,33.3333333333333,31
"131","AREA # 070104","Waw",58,43,101,13,13,26,22.4137931034483,30.2325581395349,25.7425742574257
"132","AREA # 070105","Nyaunglebin",42,55,97,5,11,16,11.9047619047619,20,16.4948453608247
"133","AREA # 070106","Kyauktaga",57,48,105,14,9,23,24.5614035087719,18.75,21.9047619047619
"134","AREA # 070107","Daik U",31,45,76,3,10,13,9.67741935483871,22.2222222222222,17.1052631578947
"135","AREA # 070108","Shwegyin",45,26,71,17,9,26,37.7777777777778,34.6153846153846,36.6197183098592
"136","AREA # 070201","Toungoo",64,53,117,12,10,22,18.75,18.8679245283019,18.8034188034188
"137","AREA # 070202","Yaedashe",64,55,119,19,17,36,29.6875,30.9090909090909,30.2521008403361
"138","AREA # 070203","Kyaukkyi",45,41,86,13,15,28,28.8888888888889,36.5853658536585,32.5581395348837
"139","AREA # 070204","Pyu",75,62,137,26,12,38,34.6666666666667,19.3548387096774,27.7372262773723
"140","AREA # 070205","Oatwin",65,41,106,19,9,28,29.2307692307692,21.9512195121951,26.4150943396226
"141","AREA # 070206","Htantapin",40,36,76,10,11,21,25,30.5555555555556,27.6315789473684
"142","AREA # 070301","Pyay",44,38,82,13,5,18,29.5454545454545,13.1578947368421,21.9512195121951
"143","AREA # 070302","Paukkhaung",36,26,62,8,7,15,22.2222222222222,26.9230769230769,24.1935483870968
"144","AREA # 070303","Padaung",24,16,40,7,3,10,29.1666666666667,18.75,25
"145","AREA # 070304","Paunde",25,23,48,8,3,11,32,13.0434782608696,22.9166666666667
"146","AREA # 070305","Thegon",40,24,64,8,4,12,20,16.6666666666667,18.75
"147","AREA # 070306","Shwedaung",26,16,42,11,6,17,42.3076923076923,37.5,40.4761904761905
"148","AREA # 070401","Tharyarwaddy",49,40,89,18,11,29,36.734693877551,27.5,32.5842696629214
"149","AREA # 070402","Letpadan",40,51,91,18,15,33,45,29.4117647058824,36.2637362637363
"150","AREA # 070403","Minhla",33,19,52,10,8,18,30.3030303030303,42.1052631578947,34.6153846153846
"151","AREA # 070404","Okpo",38,32,70,12,10,22,31.5789473684211,31.25,31.4285714285714
"152","AREA # 070405","Zigon",15,12,27,4,3,7,26.6666666666667,25,25.9259259259259
"153","AREA # 070406","Nattalin",24,20,44,6,5,11,25,25,25
