"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Township","Male","Female","Total"
"54","Chin","Falam","AREA # 040251","Rihkhuadal(ST)","MMR004001","Falam","Rihkhuadal(ST)",44,51,95
"55","Chin","Falam","AREA # 040201","Falam","MMR004001","Falam","Falam",770,857,1627
"56","Chin","Haka","AREA # 040101","HaKa","MMR004002","Hakha","HaKa",438,546,984
"57","Chin","Haka","AREA # 040102","Thantlang","MMR004003","Thantlang","Thantlang",542,619,1161
"58","Chin","Falam","AREA # 040202","Tedim","MMR004004","Tedim","Tedim",999,1213,2212
"59","Chin","Falam","AREA # 040252","Cikha(ST)","MMR004005","Tonzang","Cikha(ST)",150,186,336
"60","Chin","Falam","AREA # 040203","Tonzaung","MMR004005","Tonzang","Tonzaung",152,171,323
"61","Chin","Mindat","AREA # 040301","Mindat","MMR004006","Mindat","Mindat",512,515,1027
"62","Chin","Mindat","AREA # 040351","Reazu(ST)","MMR004007","Matupi","Reazu(ST)",304,376,680
"63","Chin","Mindat","AREA # 040302","Matupi","MMR004007","Matupi","Matupi",631,733,1364
"64","Chin","Mindat","AREA # 040303","Kanpalet","MMR004008","Kanpetlet","Kanpalet",278,289,567
"65","Chin","Mindat","AREA # 040304","Paletwat","MMR004009","Paletwa","Paletwat",709,845,1554
"66","Chin","Mindat","AREA # 040352","Sami(ST)","MMR004009","Paletwa","Sami(ST)",205,240,445
"67","Sagaing","Sagaing","AREA # 050101","Sagaing","MMR005001","Sagaing","Sagaing",1115,1435,2550
"68","Sagaing","Sagaing","AREA # 050102","Myinmu","MMR005002","Myinmu","Myinmu",449,665,1114
"69","Sagaing","Sagaing","AREA # 050103","Myaung","MMR005003","Myaung","Myaung",588,767,1355
"70","Sagaing","Shwebo","AREA # 050201","Shwebo","MMR005004","Shwebo","Shwebo",968,1167,2135
"71","Sagaing","Shwebo","AREA # 050251","Kyaukmyaung(ST)","MMR005004","Shwebo","Kyaukmyaung(ST)",140,152,292
"72","Sagaing","Shwebo","AREA # 050202","Khin U","MMR005005","Khin-U","Khin U",525,674,1199
"73","Sagaing","Shwebo","AREA # 050203","Wetlet","MMR005006","Wetlet","Wetlet",857,1096,1953
"74","Sagaing","Shwebo","AREA # 050204","Kambalu","MMR005007","Kanbalu","Kambalu",1133,1344,2477
"75","Sagaing","Shwebo","AREA # 050205","Kyunhlau","MMR005008","Kyunhla","Kyunhlau",323,428,751
"76","Sagaing","Shwebo","AREA # 050206","Ye U","MMR005009","Ye-U","Ye U",578,694,1272
"77","Sagaing","Shwebo","AREA # 050207","Depayin","MMR005010","Tabayin","Depayin",747,980,1727
"78","Sagaing","Shwebo","AREA # 050208","Tasei","MMR005011","Taze","Tasei",723,996,1719
"79","Sagaing","Monywa","AREA # 050301","Monywa","MMR005012","Monywa","Monywa",1483,1869,3352
"80","Sagaing","Monywa","AREA # 050302","Butalin","MMR005013","Budalin","Butalin",542,749,1291
"81","Sagaing","Monywa","AREA # 050303","Ayartaw","MMR005014","Ayadaw","Ayartaw",755,992,1747
"82","Sagaing","Monywa","AREA # 050304","Chaung Oo","MMR005015","Chaung-U","Chaung Oo",597,736,1333
"83","Sagaing","Yinmarpin","AREA # 050901","Yinmarpin","MMR005016","Yinmarbin","Yinmarpin",526,668,1194
"84","Sagaing","Yinmarpin","AREA # 050904","Kani","MMR005017","Kani","Kani",812,976,1788
"85","Sagaing","Yinmarpin","AREA # 050902","Salingyi","MMR005018","Salingyi","Salingyi",558,702,1260
"86","Sagaing","Yinmarpin","AREA # 050903","Palae","MMR005019","Pale","Palae",666,836,1502
