"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU"
"326","Shan","Makman","AREA # 131002","Pan San(Pan Kham)","MMR015005","Pangsang"
"327","Shan","Makman","AREA # 131003","Naphang","MMR015006","Narphan"
"328","Shan","Hopan","AREA # 130903","Panwine","MMR015007","Pangwaun"
"329","Shan","Hopan","AREA # 130902","Minemaw","MMR015008","Mongmao"
"330","Shan","Muse","AREA # 130553","Pansai(KyuKute)(ST)","MMR015009","Muse"
"331","Shan","Muse","AREA # 130501","MuSe","MMR015009","Muse"
"332","Shan","Muse","AREA # 130552","Manhero(ST)","MMR015009","Muse"
"333","Shan","Muse","AREA # 130551","Monekoe(ST)","MMR015009","Muse"
"334","Shan","Muse","AREA # 130502","Namkham","MMR015010","Namhkan"
"335","Shan","Muse","AREA # 130554","Tamoenye(ST)","MMR015011","Kutkai"
"336","Shan","Muse","AREA # 130503","Kukai","MMR015011","Kutkai"
"337","Shan","Kyukme","AREA # 130601","Kyukme","MMR015012","Kyaukme"
"338","Shan","Kyukme","AREA # 130651","Minengaw(ST)","MMR015012","Kyaukme"
"339","Shan","Kyukme","AREA # 130652","Minelon(ST)","MMR015012","Kyaukme"
"340","Shan","Kyukme","AREA # 130602","Naungkhio","MMR015013","Nawnghkio"
"341","Shan","Kyukme","AREA # 130603","Hsipaw","MMR015014","Hsipaw"
"342","Shan","Kyukme","AREA # 130604","Namtu","MMR015015","Namtu"
"343","Shan","Kyukme","AREA # 130605","Namsan(North)","MMR015016","Namhsan"
"344","Shan","Minesat","AREA # 130606","Momeik","MMR015017","Mongmit"
"345","Shan","Minesat","AREA # 130607","Mabane","MMR015018","Mabein"
"346","Shan","Kyukme","AREA # 130608","Manton","MMR015019","Manton"
"347","Shan","Lashio","AREA # 130701","Kunlon","MMR015020","Kunlong"
"348","Shan","Hopan","AREA # 130901","Hopan","MMR015021","Hopang"
"349","Shan","Hopan","AREA # 130952","Panlon(ST)","MMR015021","Hopang"
"350","Shan","Laukine","AREA # 130851","Chinshwehaw(ST)","MMR015022","Laukkaing"
"351","Shan","Laukine","AREA # 130801","Laukine","MMR015022","Laukkaing"
"352","Shan","Laukine","AREA # 130802","Kongyan","MMR015023","Konkyan"
"353","Shan","Laukine","AREA # 130852","Mawhtike(ST)","MMR015023","Konkyan"
"354","Shan","Makman","AREA # 131001","Makman","MMR015024","Matman"
"355","Shan","Kengtung","AREA # 131101","Kengtung","MMR016001","Kengtung"
"356","Shan","Kengtung","AREA # 131102","Minekat","MMR016002","Mongkhet"
"357","Shan","Kengtung","AREA # 131151","Mine Pauk(ST)","MMR016003","Mongyang"
"358","Shan","Kengtung","AREA # 131103","Mineyan","MMR016003","Mongyang"
"359","Shan","Kengtung","AREA # 131104","Minelar","MMR016005","Mongla"
"360","Shan","Minephyat","AREA # 131201","Minesat","MMR016006","Monghsat"
"361","Shan","Minephyat","AREA # 131251","Minekoke(ST)","MMR016006","Monghsat"
"362","Shan","Kengtung","AREA # 131202","Minepyin","MMR016007","Mongping"
"363","Shan","Kengtung","AREA # 131252","Tontar(ST)","MMR016007","Mongping"
"364","Shan","Minephyat","AREA # 131253","Ponparkyin(ST)","MMR016008","Mongton"
"365","Shan","Minephyat","AREA # 131203","Minetung","MMR016008","Mongton"
"366","Shan","Minephyat","AREA # 131254","Monehta(ST)","MMR016008","Mongton"
"367","Shan","Tachileik","AREA # 131351","Talay(ST)","MMR016009","Tachileik"
"368","Shan","Tachileik","AREA # 131301","Tachileik","MMR016009","Tachileik"
"369","Shan","Tachileik","AREA # 131352","Kenglat(ST)","MMR016009","Tachileik"
"370","Shan","Tachileik","AREA # 131401","Minephyat","MMR016010","Monghpyak"
"371","Shan","Tachileik","AREA # 131451","Mineyu(ST)","MMR016011","Mongyawng"
"372","Shan","Tachileik","AREA # 131402","Mineyaung","MMR016011","Mongyawng"
"373","Ayeyawady","Pathein","AREA # 140105","Pathein","MMR017001","Pathein"
"374","Ayeyawady","Pathein","AREA # 140154","Ngwehsaung(ST)","MMR017001","Pathein"
"375","Ayeyawady","Pathein","AREA # 140153","Shwethaungyan(ST)","MMR017001","Pathein"
"376","Ayeyawady","Pathein","AREA # 140101","Kangyidaunt","MMR017002","Kangyidaunt"
"377","Ayeyawady","Pathein","AREA # 140107","Thapaung","MMR017003","Thabaung"
"378","Ayeyawady","Pathein","AREA # 140152","Hainggyikyun(ST)","MMR017004","Ngapudaw"
"379","Ayeyawady","Pathein","AREA # 140151","Ngayokaung(ST)","MMR017004","Ngapudaw"
"380","Ayeyawady","Pathein","AREA # 140104","Ngaputaw","MMR017004","Ngapudaw"
"381","Ayeyawady","Pathein","AREA # 140103","Kyonpyaw","MMR017005","Kyonpyaw"
"382","Ayeyawady","Pathein","AREA # 140106","Yekyi","MMR017006","Yegyi"
"383","Ayeyawady","Pathein","AREA # 140155","Ngathaingchaung(ST)","MMR017006","Yegyi"
"384","Ayeyawady","Pathein","AREA # 140102","Kyaungon","MMR017007","Kyaunggon"
"385","Ayeyawady","Hinthada","AREA # 140605","Hinthada","MMR017008","Hinthada"
"386","Ayeyawady","Hinthada","AREA # 140602","Zalun","MMR017009","Zalun"
"387","Ayeyawady","Hinthada","AREA # 140604","Laymyethna","MMR017010","Lemyethna"
"388","Ayeyawady","Hinthada","AREA # 140603","Myanaung","MMR017011","Myanaung"
"389","Ayeyawady","Hinthada","AREA # 140601","Kyangin","MMR017012","Kyangin"
"390","Ayeyawady","Hinthada","AREA # 140606","Ingapu","MMR017013","Ingapu"
"391","Ayeyawady","Myaungmya","AREA # 140401","Myaungmya","MMR017014","Myaungmya"
"392","Ayeyawady","Myaungmya","AREA # 140403","Einme","MMR017015","Einme"
"393","Ayeyawady","Laputta","AREA # 140551","Pyinsalu(ST)","MMR017016","Labutta"
"394","Ayeyawady","Laputta","AREA # 140502","Labutta","MMR017016","Labutta"
"395","Ayeyawady","Myaungmya","AREA # 140402","Wakema","MMR017017","Wakema"
"396","Ayeyawady","Laputta","AREA # 140501","Mawlamyinegyun","MMR017018","Mawlamyinegyun"
"397","Ayeyawady","Maubin","AREA # 140304","Maubin","MMR017019","Maubin"
"398","Ayeyawady","Maubin","AREA # 140303","Pantanaw","MMR017020","Pantanaw"
"399","Ayeyawady","Maubin","AREA # 140301","Nyaungdon","MMR017021","Nyaungdon"
"400","Ayeyawady","Maubin","AREA # 140302","Danubyu","MMR017022","Danubyu"
"401","Ayeyawady","Phyapon","AREA # 140203","Phyapon","MMR017023","Pyapon"
"402","Ayeyawady","Phyapon","AREA # 140251","Ahmar(ST)","MMR017023","Pyapon"
"403","Ayeyawady","Phyapon","AREA # 140204","Bogale","MMR017024","Bogale"
"404","Ayeyawady","Phyapon","AREA # 140201","Kyaiklatt","MMR017025","Kyaiklat"
"405","Ayeyawady","Phyapon","AREA # 140202","Daydaye","MMR017026","Dedaye"
"406","Nay Pyi Taw","Ottara(North)","AREA # 150102","Zeyarthiri","MMR018001","Zay Yar Thi Ri"
"407","Nay Pyi Taw","Dekkhina(South)","AREA # 150203","Zabuthiri","MMR018002","Za Bu Thi Ri"
"408","Nay Pyi Taw","Ottara(North)","AREA # 150101","Tatkon","MMR018003","Tatkon"
"409","Nay Pyi Taw","Dekkhina(South)","AREA # 150204","Dekkhinathiri","MMR018004","Det Khi Na Thi Ri"
"410","Nay Pyi Taw","Ottara(North)","AREA # 150104","Pobbathiri","MMR018005","Poke Ba Thi Ri"
"411","Nay Pyi Taw","Dekkhina(South)","AREA # 150201","Pyinmana","MMR018006","Pyinmana"
"412","Nay Pyi Taw","Dekkhina(South)","AREA # 150202","Lewe","MMR018007","Lewe"
"413","Nay Pyi Taw","Ottara(North)","AREA # 150103","Ottarathiri","MMR018008","Oke Ta Ra Thi Ri"
