"","AreaCode","Township","SvMale","SvFemale","SvTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"330","AREA # 130553","Pansai(KyuKute)(ST)",1,1,2,NA,NA,NA,NA,NA,NA
"331","AREA # 130554","Tamoenye(ST)",10,5,15,1,1,2,10,20,13.3333333333333
"332","AREA # 130601","Kyukme",21,21,42,6,4,10,28.5714285714286,19.047619047619,23.8095238095238
"333","AREA # 130602","Naungkhio",32,30,62,11,3,14,34.375,10,22.5806451612903
"334","AREA # 130603","Hsipaw",22,24,46,2,6,8,9.09090909090909,25,17.3913043478261
"335","AREA # 130604","Namtu",15,10,25,2,4,6,13.3333333333333,40,24
"336","AREA # 130605","Namsan(North)",13,10,23,6,2,8,46.1538461538462,20,34.7826086956522
"337","AREA # 130606","Momeik",16,16,32,4,5,9,25,31.25,28.125
"338","AREA # 130607","Mabane",6,14,20,3,3,6,50,21.4285714285714,30
"339","AREA # 130608","Manton",8,10,18,2,2,4,25,20,22.2222222222222
"340","AREA # 130651","Minengaw(ST)",2,NA,2,NA,NA,NA,NA,NA,NA
"341","AREA # 130652","Minelon(ST)",4,3,7,2,1,3,50,33.3333333333333,42.8571428571429
"342","AREA # 130701","Kunlon",11,8,19,5,2,7,45.4545454545455,25,36.8421052631579
"343","AREA # 130801","Laukine",16,16,32,5,3,8,31.25,18.75,25
"344","AREA # 130802","Kongyan",3,4,7,1,2,3,33.3333333333333,50,42.8571428571429
"345","AREA # 130851","Chinshwehaw(ST)",2,NA,2,NA,NA,NA,NA,NA,NA
"346","AREA # 130852","Mawhtike(ST)",2,5,7,NA,NA,NA,NA,NA,NA
"347","AREA # 130901","Hopan",7,6,13,NA,1,1,NA,16.6666666666667,7.69230769230769
"348","AREA # 130902","Minemaw",4,3,7,NA,2,2,NA,66.6666666666667,28.5714285714286
"349","AREA # 130903","Panwine",95,74,169,14,3,17,14.7368421052632,4.05405405405405,10.0591715976331
"350","AREA # 130952","Panlon(ST)",3,NA,3,1,NA,1,33.3333333333333,NA,33.3333333333333
"351","AREA # 131001","Makman",3,2,5,NA,NA,NA,NA,NA,NA
"352","AREA # 131002","Pan San(Pan Kham)",20,14,34,1,NA,1,5,NA,2.94117647058824
"353","AREA # 131003","Naphang",15,18,33,1,2,3,6.66666666666667,11.1111111111111,9.09090909090909
"354","AREA # 131051","ManKan(ST)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","AREA # 131101","Kengtung",41,24,65,4,3,7,9.75609756097561,12.5,10.7692307692308
"356","AREA # 131102","Minekat",6,2,8,1,1,2,16.6666666666667,50,25
"357","AREA # 131103","Mineyan",3,3,6,NA,1,1,NA,33.3333333333333,16.6666666666667
"358","AREA # 131104","Minelar",4,2,6,1,1,2,25,50,33.3333333333333
"359","AREA # 131151","Mine Pauk(ST)",9,NA,9,1,NA,1,11.1111111111111,NA,11.1111111111111
"360","AREA # 131201","Minesat",27,13,40,4,1,5,14.8148148148148,7.69230769230769,12.5
"361","AREA # 131202","Minepyin",7,8,15,3,NA,3,42.8571428571429,NA,20
"362","AREA # 131203","Minetung",8,6,14,1,2,3,12.5,33.3333333333333,21.4285714285714
"363","AREA # 131251","Minekoke(ST)",NA,2,2,NA,NA,NA,NA,NA,NA
"364","AREA # 131252","Tontar(ST)",2,NA,2,NA,NA,NA,NA,NA,NA
"365","AREA # 131253","Ponparkyin(ST)",13,6,19,3,3,6,23.0769230769231,50,31.5789473684211
"366","AREA # 131254","Monehta(ST)",2,NA,2,NA,NA,NA,NA,NA,NA
"367","AREA # 131301","Tachileik",21,14,35,3,2,5,14.2857142857143,14.2857142857143,14.2857142857143
"368","AREA # 131351","Talay(ST)",6,6,12,3,2,5,50,33.3333333333333,41.6666666666667
"369","AREA # 131352","Kenglat(ST)",NA,1,1,NA,1,1,NA,100,100
"370","AREA # 131401","Minephyat",7,5,12,2,NA,2,28.5714285714286,NA,16.6666666666667
"371","AREA # 131402","Mineyaung",6,1,7,NA,1,1,NA,100,14.2857142857143
"372","AREA # 131451","Mineyu(ST)",13,9,22,3,1,4,23.0769230769231,11.1111111111111,18.1818181818182
"373","AREA # 140101","Kangyidaunt",44,43,87,9,7,16,20.4545454545455,16.2790697674419,18.3908045977011
"374","AREA # 140102","Kyaungon",50,36,86,9,6,15,18,16.6666666666667,17.4418604651163
"375","AREA # 140103","Kyonpyaw",92,70,162,20,22,42,21.7391304347826,31.4285714285714,25.9259259259259
"376","AREA # 140104","Ngaputaw",39,36,75,8,13,21,20.5128205128205,36.1111111111111,28
"377","AREA # 140105","Pathein",80,78,158,11,13,24,13.75,16.6666666666667,15.1898734177215
"378","AREA # 140106","Yekyi",34,30,64,7,3,10,20.5882352941176,10,15.625
"379","AREA # 140107","Thapaung",34,41,75,9,8,17,26.4705882352941,19.5121951219512,22.6666666666667
"380","AREA # 140151","Ngayokaung(ST)",10,9,19,3,1,4,30,11.1111111111111,21.0526315789474
"381","AREA # 140152","Hainggyikyun(ST)",27,30,57,12,9,21,44.4444444444444,30,36.8421052631579
"382","AREA # 140153","Shwethaungyan(ST)",7,10,17,2,1,3,28.5714285714286,10,17.6470588235294
"383","AREA # 140154","Ngwehsaung(ST)",16,9,25,4,1,5,25,11.1111111111111,20
"384","AREA # 140155","Ngathaingchaung(ST)",27,10,37,6,3,9,22.2222222222222,30,24.3243243243243
"385","AREA # 140201","Kyaiklatt",54,49,103,13,15,28,24.0740740740741,30.6122448979592,27.1844660194175
"386","AREA # 140202","Daydaye",46,34,80,14,9,23,30.4347826086957,26.4705882352941,28.75
"387","AREA # 140203","Phyapon",69,46,115,26,13,39,37.6811594202899,28.2608695652174,33.9130434782609
"388","AREA # 140204","Bogale",136,111,247,55,36,91,40.4411764705882,32.4324324324324,36.8421052631579
"389","AREA # 140251","Ahmar(ST)",74,41,115,27,16,43,36.4864864864865,39.0243902439024,37.3913043478261
"390","AREA # 140301","Nyaungdon",70,50,120,13,7,20,18.5714285714286,14,16.6666666666667
"391","AREA # 140302","Danubyu",57,42,99,11,9,20,19.2982456140351,21.4285714285714,20.2020202020202
"392","AREA # 140303","Pantanaw",75,59,134,15,16,31,20,27.1186440677966,23.134328358209
"393","AREA # 140304","Maubin",80,67,147,20,18,38,25,26.865671641791,25.8503401360544
"394","AREA # 140401","Myaungmya",91,92,183,24,13,37,26.3736263736264,14.1304347826087,20.2185792349727
"395","AREA # 140402","Wakema",70,66,136,19,15,34,27.1428571428571,22.7272727272727,25
"396","AREA # 140403","Einme",42,52,94,6,2,8,14.2857142857143,3.84615384615385,8.51063829787234
"397","AREA # 140501","Mawlamyinegyun",161,118,279,61,48,109,37.888198757764,40.6779661016949,39.0681003584229
"398","AREA # 140502","Labutta",70,59,129,23,17,40,32.8571428571429,28.8135593220339,31.0077519379845
"399","AREA # 140551","Pyinsalu(ST)",28,18,46,5,7,12,17.8571428571429,38.8888888888889,26.0869565217391
"400","AREA # 140601","Kyangin",25,16,41,4,2,6,16,12.5,14.6341463414634
"401","AREA # 140602","Zalun",45,41,86,9,8,17,20,19.5121951219512,19.7674418604651
"402","AREA # 140603","Myanaung",56,45,101,8,6,14,14.2857142857143,13.3333333333333,13.8613861386139
"403","AREA # 140604","Laymyethna",20,20,40,7,2,9,35,10,22.5
"404","AREA # 140605","Hinthada",108,87,195,21,23,44,19.4444444444444,26.4367816091954,22.5641025641026
"405","AREA # 140606","Ingapu",81,52,133,16,13,29,19.7530864197531,25,21.8045112781955
"406","AREA # 150101","Tatkon",36,25,61,6,3,9,16.6666666666667,12,14.7540983606557
"407","AREA # 150102","Zeyarthiri",15,17,32,2,2,4,13.3333333333333,11.7647058823529,12.5
"408","AREA # 150103","Ottarathiri",7,10,17,2,NA,2,28.5714285714286,NA,11.7647058823529
"409","AREA # 150104","Pobbathiri",18,18,36,3,6,9,16.6666666666667,33.3333333333333,25
"410","AREA # 150201","Pyinmana",47,43,90,8,8,16,17.0212765957447,18.6046511627907,17.7777777777778
"411","AREA # 150202","Lewe",57,42,99,12,7,19,21.0526315789474,16.6666666666667,19.1919191919192
"412","AREA # 150203","Zabuthiri",14,11,25,3,3,6,21.4285714285714,27.2727272727273,24
"413","AREA # 150204","Dekkhinathiri",3,2,5,NA,1,1,NA,50,20
