"","AreaCode","Township","SvMale","SvFemale","SvTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"166","AREA # 080205","Saytottara",6,11,17,1,2,3,16.6666666666667,18.1818181818182,17.6470588235294
"167","AREA # 080301","Thayet",19,11,30,5,1,6,26.3157894736842,9.09090909090909,20
"168","AREA # 080302","Minhla",30,23,53,7,5,12,23.3333333333333,21.7391304347826,22.6415094339623
"169","AREA # 080303","Mindon",14,6,20,2,1,3,14.2857142857143,16.6666666666667,15
"170","AREA # 080304","Kamma",17,13,30,5,2,7,29.4117647058824,15.3846153846154,23.3333333333333
"171","AREA # 080305","Aunglan",60,51,111,9,12,21,15,23.5294117647059,18.9189189189189
"172","AREA # 080306","Sinpaungwe`",30,22,52,7,6,13,23.3333333333333,27.2727272727273,25
"173","AREA # 080401","Pakokku",54,41,95,10,13,23,18.5185185185185,31.7073170731707,24.2105263157895
"174","AREA # 080402","Yesagyo",38,27,65,5,6,11,13.1578947368421,22.2222222222222,16.9230769230769
"175","AREA # 080403","Myaing",61,44,105,22,14,36,36.0655737704918,31.8181818181818,34.2857142857143
"176","AREA # 080404","Pauk",65,43,108,15,13,28,23.0769230769231,30.2325581395349,25.9259259259259
"177","AREA # 080405","Seikphyu",18,18,36,3,2,5,16.6666666666667,11.1111111111111,13.8888888888889
"178","AREA # 080501","Gangaw",27,24,51,6,3,9,22.2222222222222,12.5,17.6470588235294
"179","AREA # 080502","Htilin",15,10,25,1,1,2,6.66666666666667,10,8
"180","AREA # 080503","Saw",8,8,16,2,1,3,25,12.5,18.75
"181","AREA # 080551","Kyaukhtu(ST)",10,8,18,1,3,4,10,37.5,22.2222222222222
"182","AREA # 090101","Aungmyetharzan",45,37,82,13,5,18,28.8888888888889,13.5135135135135,21.9512195121951
"183","AREA # 090102","Chanayeharzan",17,13,30,2,3,5,11.7647058823529,23.0769230769231,16.6666666666667
"184","AREA # 090103","Mahaaungmye",30,15,45,5,1,6,16.6666666666667,6.66666666666667,13.3333333333333
"185","AREA # 090104","Chanmyatharzi",45,46,91,9,7,16,20,15.2173913043478,17.5824175824176
"186","AREA # 090105","Pyigyidagun",47,30,77,10,7,17,21.2765957446809,23.3333333333333,22.0779220779221
"187","AREA # 090106","Amarapura",23,32,55,1,3,4,4.34782608695652,9.375,7.27272727272727
"188","AREA # 090107","Patheingyi",58,30,88,10,6,16,17.2413793103448,20,18.1818181818182
