"","Area code","Township","NmMale","NmFemale","NmTotal","AttNmMale","AttNmFemale","AttNmTotal","pcAttNmMale","pcAttNmFemale","pcAttNmTotal"
"369","AREA # 131352","Kenglat(ST)",604,622,1226,387,456,843,64.0728476821192,73.3118971061093,68.7601957585644
"370","AREA # 131401","Minephyat",1832,1702,3534,1083,1193,2276,59.1157205240175,70.0940070505288,64.4029428409734
"371","AREA # 131402","Mineyaung",991,1038,2029,599,753,1352,60.4439959636731,72.5433526011561,66.6338097585017
"372","AREA # 131451","Mineyu(ST)",2791,2699,5490,1134,1094,2228,40.6305983518452,40.5335309373842,40.5828779599271
"373","AREA # 140101","Kangyidaunt",9039,8926,17965,7598,7515,15113,84.0579710144928,84.1922473672418,84.1246868911773
"374","AREA # 140102","Kyaungon",7648,7512,15160,6300,6360,12660,82.3744769874477,84.6645367412141,83.509234828496
"375","AREA # 140103","Kyonpyaw",11530,11321,22851,9802,9718,19520,85.0130095403296,85.8404734564084,85.4229574198066
"376","AREA # 140104","Ngaputaw",9825,9601,19426,8116,8027,16143,82.6055979643766,83.6058743880846,83.0999691135591
"377","AREA # 140105","Pathein",11868,11375,23243,9282,9018,18300,78.2103134479272,79.2791208791209,78.7333820935335
"378","AREA # 140106","Yekyi",4691,4628,9319,3884,3884,7768,82.7968450223833,83.923941227312,83.356583324391
"379","AREA # 140107","Thapaung",8106,7911,16017,6868,6784,13652,84.7273624475697,85.7540133990646,85.2344384091902
"380","AREA # 140151","Ngayokaung(ST)",1915,1885,3800,1617,1566,3183,84.4386422976501,83.0769230769231,83.7631578947368
"381","AREA # 140152","Hainggyikyun(ST)",5337,5291,10628,4417,4472,8889,82.7618512272812,84.5208845208845,83.6375611592021
"382","AREA # 140153","Shwethaungyan(ST)",2182,2259,4441,1591,1684,3275,72.9147571035747,74.5462594068172,73.7446521053817
"383","AREA # 140154","Ngwehsaung(ST)",2077,2166,4243,1489,1597,3086,71.6899374097256,73.730378578024,72.7315578600047
"384","AREA # 140155","Ngathaingchaung(ST)",4180,4093,8273,3500,3519,7019,83.7320574162679,85.9760566821402,84.8422579475402
"385","AREA # 140201","Kyaiklatt",10386,9945,20331,8792,8502,17294,84.6524167148084,85.4901960784314,85.0622202547833
"386","AREA # 140202","Daydaye",11265,10959,22224,9775,9628,19403,86.7731913004882,87.8547312711014,87.3065154787617
"387","AREA # 140203","Phyapon",9667,9501,19168,7883,7933,15816,81.545463949519,83.4964740553626,82.5125208681135
"388","AREA # 140204","Bogale",16884,16672,33556,13643,13496,27139,80.804311774461,80.9500959692898,80.8767433543927
"389","AREA # 140251","Ahmar(ST)",7725,7783,15508,6068,6176,12244,78.5501618122977,79.3524347937813,78.9527985555842
"390","AREA # 140301","Nyaungdon",10409,10201,20610,8725,8640,17365,83.8216927658757,84.697578668758,84.2552159146046
"391","AREA # 140302","Danubyu",8438,8258,16696,6906,6867,13773,81.8440388717706,83.1557277791233,82.4928126497365
"392","AREA # 140303","Pantanaw",12911,12915,25826,10415,10499,20914,80.6676477422353,81.2930700735579,80.9804073414389
"393","AREA # 140304","Maubin",16650,16268,32918,14077,13933,28010,84.5465465465466,85.6466683058766,85.0902241934504
"394","AREA # 140401","Myaungmya",15251,15112,30363,12413,12512,24925,81.3913841715297,82.795129698253,82.0900438033132
"395","AREA # 140402","Wakema",15192,14875,30067,12377,12346,24723,81.4705107951553,82.9983193277311,82.2263611268168
"396","AREA # 140403","Einme",10419,10063,20482,8652,8356,17008,83.0405989058451,83.0368677332803,83.0387657455327
"397","AREA # 140501","Mawlamyinegyun",15368,15292,30660,12426,12544,24970,80.8563248308173,82.0298195134711,81.4416177429876
"398","AREA # 140502","Labutta",11722,11360,23082,9665,9485,19150,82.4518000341239,83.4947183098592,82.9650810155099
"399","AREA # 140551","Pyinsalu(ST)",4105,4107,8212,3231,3350,6581,78.7088915956151,81.5680545410275,80.1388212372138
"400","AREA # 140601","Kyangin",3515,3420,6935,2875,2883,5758,81.7923186344239,84.2982456140351,83.0281182408075
"401","AREA # 140602","Zalun",7841,7592,15433,6687,6617,13304,85.2824894783829,87.1575342465753,86.2048856346789
"402","AREA # 140603","Myanaung",9364,9108,18472,7766,7698,15464,82.9346433148227,84.5191040843215,83.7158943265483
"403","AREA # 140604","Laymyethna",4943,4880,9823,4175,4222,8397,84.4628767954683,86.516393442623,85.4830499847297
"404","AREA # 140605","Hinthada",14882,14999,29881,12486,12774,25260,83.9000134390539,85.1656777118475,84.5353234496837
"405","AREA # 140606","Ingapu",9328,9148,18476,7782,7716,15498,83.426243567753,84.3463052033231,83.8817925958
"406","AREA # 150101","Tatkon",10441,10204,20645,9313,9208,18521,89.196437122881,90.2391219129753,89.7117946233955
"407","AREA # 150102","Zeyarthiri",5399,5313,10712,4706,4707,9413,87.1642896832747,88.5940146809712,87.8734129947722
"408","AREA # 150103","Ottarathiri",4107,4012,8119,3496,3520,7016,85.1229607986365,87.7367896311067,86.4145830767336
"409","AREA # 150104","Pobbathiri",5690,5692,11382,4828,4872,9700,84.8506151142355,85.5938158819396,85.2222807942365
"410","AREA # 150201","Pyinmana",9028,8790,17818,7166,7133,14299,79.3752769162605,81.1490329920364,80.2503086766192
"411","AREA # 150202","Lewe",15460,15022,30482,13226,13254,26480,85.5498059508409,88.2305951271469,86.8709402270192
"412","AREA # 150203","Zabuthiri",3574,3551,7125,2809,2771,5580,78.5954113038612,78.0343565192903,78.3157894736842
"413","AREA # 150204","Dekkhinathiri",2236,2097,4333,1151,1096,2247,51.4758497316637,52.2651406771578,51.8578352180937
