"","AreaCode","Township","Male","Female","Total"
"130","AREA # 070103","Kawa",44,25,69
"131","AREA # 070104","Waw",47,23,70
"132","AREA # 070105","Nyaunglebin",42,40,82
"133","AREA # 070106","Kyauktaga",45,31,76
"134","AREA # 070107","Daik U",34,35,69
"135","AREA # 070108","Shwegyin",29,20,49
"136","AREA # 070201","Toungoo",64,40,104
"137","AREA # 070202","Yaedashe",53,40,93
"138","AREA # 070203","Kyaukkyi",27,31,58
"139","AREA # 070204","Pyu",55,53,108
"140","AREA # 070205","Oatwin",40,42,82
"141","AREA # 070206","Htantapin",21,22,43
"142","AREA # 070301","Pyay",52,34,86
"143","AREA # 070302","Paukkhaung",30,25,55
"144","AREA # 070303","Padaung",26,24,50
"145","AREA # 070304","Paunde",22,19,41
"146","AREA # 070305","Thegon",28,27,55
"147","AREA # 070306","Shwedaung",27,21,48
"148","AREA # 070401","Tharyarwaddy",37,36,73
"149","AREA # 070402","Letpadan",37,36,73
"150","AREA # 070403","Minhla",23,20,43
"151","AREA # 070404","Okpo",38,29,67
"152","AREA # 070405","Zigon",10,7,17
"153","AREA # 070406","Nattalin",28,15,43
"154","AREA # 070407","Monyo",33,20,53
"155","AREA # 070408","Gyobingauk",23,16,39
"156","AREA # 080101","Magway",51,47,98
"157","AREA # 080102","Yenangyoung",27,25,52
"158","AREA # 080103","Chauk",36,14,50
"159","AREA # 080104","Taungdwingyi",67,41,108
"160","AREA # 080105","Myothit",34,29,63
"161","AREA # 080106","Natmauk",33,43,76
"162","AREA # 080201","Minbu",29,31,60
"163","AREA # 080202","Pwint Phyu",38,31,69
"164","AREA # 080203","Ngape",11,5,16
"165","AREA # 080204","Salin",44,31,75
"166","AREA # 080205","Saytottara",6,11,17
"167","AREA # 080301","Thayet",19,11,30
"168","AREA # 080302","Minhla",30,23,53
"169","AREA # 080303","Mindon",14,6,20
"170","AREA # 080304","Kamma",17,13,30
"171","AREA # 080305","Aunglan",60,51,111
"172","AREA # 080306","Sinpaungwe`",30,22,52
"173","AREA # 080401","Pakokku",54,41,95
"174","AREA # 080402","Yesagyo",38,27,65
"175","AREA # 080403","Myaing",61,44,105
"176","AREA # 080404","Pauk",65,43,108
"177","AREA # 080405","Seikphyu",18,18,36
"178","AREA # 080501","Gangaw",27,24,51
"179","AREA # 080502","Htilin",15,10,25
"180","AREA # 080503","Saw",8,8,16
"181","AREA # 080551","Kyaukhtu(ST)",10,8,18
"182","AREA # 090101","Aungmyetharzan",45,37,82
"183","AREA # 090102","Chanayeharzan",17,13,30
"184","AREA # 090103","Mahaaungmye",30,15,45
"185","AREA # 090104","Chanmyatharzi",45,46,91
"186","AREA # 090105","Pyigyidagun",47,30,77
"187","AREA # 090106","Amarapura",23,32,55
"188","AREA # 090107","Patheingyi",58,30,88
"189","AREA # 090201","Pyin Oo Lwin",39,28,67
"190","AREA # 090202","Madaya",40,40,80
"191","AREA # 090203","Sinku",41,31,72
"192","AREA # 090204","Mogok",35,19,54
"193","AREA # 090205","Thabeikkyin",24,15,39
"194","AREA # 090251","Tagaung",6,8,14
"195","AREA # 090301","Kyaukse",35,24,59
"196","AREA # 090302","Singaing",18,26,44
"197","AREA # 090303","Myitthar",35,23,58
"198","AREA # 090304","Tada U",19,11,30
"199","AREA # 090401","Myingyan",56,44,100
"200","AREA # 090402","Taungtha",38,31,69
"201","AREA # 090403","Natogyi",33,28,61
"202","AREA # 090404","Kyaukpadaung",37,30,67
"203","AREA # 090405","Ngazun",21,24,45
"204","AREA # 090501","Nyaung U",52,31,83
"205","AREA # 090551","Ngat",17,13,30
"206","AREA # 090601","Yame`thin",62,39,101
"207","AREA # 090602","Pyawbwe",42,47,89
"208","AREA # 090701","Meiktila",59,46,105
"209","AREA # 090702","MahlYaing",32,25,57
"210","AREA # 090703","Thazi",38,45,83
"211","AREA # 090704","Wundwin",36,32,68
"212","AREA # 100101","Mawlamyine",41,46,87
"213","AREA # 100102","Kyaikemaraw",53,31,84
"214","AREA # 100103","Chaungzon",17,22,39
"215","AREA # 100104","Thanbyuzayat",48,38,86
"216","AREA # 100105","Mudon",43,33,76
"217","AREA # 100106","Ye",44,33,77
"218","AREA # 100151","Lamine",17,18,35
"219","AREA # 100152","Khawzar",5,2,7
"220","AREA # 100201","Thaton",49,44,93
"221","AREA # 100202","Paung",52,40,92
"222","AREA # 100203","Kyaikto",47,36,83
"223","AREA # 100204","Bilin",62,49,111
